date,transaction,debit,credit,balance
"Aug. 14, 2013",Payment for Invoice no. 1 - The Home Depot Canada,0.00,800.00,(800.00)
"Aug. 14, 2013",Invoice no. 1 - The Home Depot Canada,800.00,0.00,0.00
"Aug. 28, 2013",Invoice no. 2 - Xtreme Labs,"1,050.00",0.00,"1,050.00"
"Aug. 28, 2013",Payment for Invoice no. 2 - Xtreme Labs,0.00,"1,050.00",0.00
"Sept. 24, 2013",Invoice no. 3 - Canadian Security Intelligence Service,900.00,0.00,900.00
"Sept. 24, 2013",Invoice no. 5 - Rocscience Inc.,800.00,0.00,"1,700.00"
"Sept. 25, 2013",Invoice no. 6 - Google,"1,870.00",0.00,"3,570.00"
"Sept. 25, 2013",Invoice no. 7 - Intel,"1,800.00",0.00,"5,370.00"
"Sept. 25, 2013",Invoice no. 8 - Professional Engineers Ontario,450.00,0.00,"5,820.00"
"Sept. 29, 2013",Payment for Invoice no. 6 - Google,0.00,"1,870.00","3,950.00"
"Sept. 30, 2013",Invoice no. 9 - Altera Toronto Technology Center,"1,000.00",0.00,"4,950.00"
"Sept. 30, 2013",Payment for Invoice no. 9 - Altera Toronto Technology Center,0.00,"1,000.00","3,950.00"
"Oct. 8, 2013",Invoice no. 11 - Ontario Power Authority,450.00,0.00,"4,400.00"
"Oct. 15, 2013",Invoice no. 12 - Newton North America,300.00,0.00,"4,700.00"
"Oct. 15, 2013",Invoice no. 13 - Tesla Motors,475.00,0.00,"5,175.00"
"Oct. 16, 2013",Payment for Invoice no. 8 - Professional Engineers Ontario,0.00,450.00,"4,725.00"
"Oct. 17, 2013",Payment for Invoice no. 5 - Rocscience Inc.,0.00,800.00,"3,925.00"
"Oct. 17, 2013",Invoice no. 14 - Dragados Canada,800.00,0.00,"4,725.00"
"Oct. 23, 2013",Invoice no. 15 - Altera Toronto Technology Center,400.00,0.00,"5,125.00"
"Oct. 24, 2013",Payment for Invoice no. 15 - Altera Toronto Technology Center,0.00,400.00,"4,725.00"
"Oct. 25, 2013",Invoice no. 4 - Kijiji Canada,500.00,0.00,"5,225.00"
"Oct. 30, 2013",Invoice no. 16 - Ceridian HCM,"1,000.00",0.00,"6,225.00"
"Oct. 31, 2013",Invoice no. 17 - CGI ISMS Inc.,800.00,0.00,"7,025.00"
"Nov. 1, 2013",Payment for Invoice no. 19 - Altera Toronto Technology Center,0.00,496.30,"6,528.70"
"Nov. 1, 2013",Invoice no. 19 - Altera Toronto Technology Center,496.30,0.00,"7,025.00"
"Nov. 4, 2013",Invoice no. 31 - Echologics,800.00,0.00,"7,825.00"
